id;auditor_name;defect_count;defect_fix_count;inspection_date;remark;status;last_modified;last_modified_by
1;cyan Movies;3322;96783;2022-02-14T16:19:12;Mauritius SSL Ball;Internal Taiwan;2022-02-14T14:26:35;Operative
2;Senior tan;83517;1244;2022-02-14T15:24:31;open-source;envisioneer productize;2022-02-14T18:52:41;withdrawal Avon web
3;bypass synthesize;52963;3362;2022-02-15T00:13:44;infrastructures Multi-layered;Well Tasty;2022-02-14T08:38:33;Global
4;Buckinghamshire Borders;10290;23514;2022-02-14T18:12:47;motivating synthesizing data-warehouse;superstructure Utah Pound;2022-02-15T03:26:09;Leu Money
5;Optimization web-enabled Tasty;38018;26786;2022-02-14T22:15:37;International Wyoming;non-volatile Dollar iterate;2022-02-14T19:45:01;Albania back
6;sticky;37730;86691;2022-02-15T03:12:36;mission-critical;Beauty Pizza;2022-02-15T04:09:13;framework Orchestrator Pizza
7;benchmark COM Shoes;98194;67064;2022-02-15T04:40:41;synergy user-facing;Rhode granular;2022-02-14T12:10:46;utilize responsive system
8;Industrial Chair application;51806;83293;2022-02-14T11:14:07;brand Investor;Human;2022-02-14T22:29:34;Zimbabwe
9;Bahrain;54034;31062;2022-02-14T21:10:09;compressing;fuchsia Russian generating;2022-02-14T09:38:46;Romania synthesize Computers
10;Account Parks;51036;15434;2022-02-14T08:45:41;synthesizing synthesizing Avon;maroon;2022-02-14T13:26:34;maroon Somoni compress
