id;occupied;on_cylinder;on_lmo;on_concentrators;last_modified;last_modified_by
1;5528;45125;27759;78767;2022-02-14T17:38:00;Cheese
2;53614;6304;48828;76778;2022-02-14T17:25:53;payment Squares SQL
3;76713;22501;77320;71218;2022-02-14T13:09:20;Account Sausages Industrial
4;35426;35674;34381;6402;2022-02-14T15:13:03;Sausages
5;48942;40865;20779;24176;2022-02-15T03:43:00;Triple-buffered Marketing compelling
6;78856;55836;13048;89641;2022-02-14T14:14:20;Savings responsive
7;51654;31347;31344;32602;2022-02-14T16:35:59;Assistant web-enabled
8;22758;16413;83095;13495;2022-02-15T03:13:09;strategy Belize
9;72011;35323;96080;74195;2022-02-15T00:55:20;alliance program
10;456;19658;75353;12388;2022-02-14T12:27:30;primary portal reboot
