id;name;per_day_ox;deleted;last_modified;last_modified_by
1;payment;36563;false;2022-02-14T08:40:23;Ruble withdrawal
2;generating dedicated;90003;false;2022-02-15T01:13:46;Avon Automotive
3;Chair;70067;true;2022-02-15T04:03:19;payment 24/7 transmit
4;Wisconsin Unbranded;3377;false;2022-02-14T13:51:29;Savings
5;initiative Operations;74497;true;2022-02-14T17:14:56;virtual PCI Bedfordshire
6;transition;52691;false;2022-02-14T08:49:49;Avon
7;Buckinghamshire XSS;69845;true;2022-02-14T09:00:13;e-services
8;International Investor;80260;true;2022-02-14T19:25:45;Universal solution-oriented Berkshire
9;throughput SAS ubiquitous;12618;true;2022-02-15T02:47:38;migration Borders
10;Ergonomic plum;45958;false;2022-02-14T18:39:12;overriding
