id;name;deleted;lgd_code;last_modified;last_modified_by
1;aggregate;true;92821;2022-02-15T00:24:19;generate
2;EXE;false;61734;2022-02-15T01:38:12;Fresh copying
3;Functionality;true;19040;2022-02-14T22:15:24;Investor Loan Global
4;Dinar content;false;94147;2022-02-14T17:30:31;circuit Lithuania
5;Director Unbranded Car;false;89783;2022-02-14T23:14:16;Corporate deposit Dinar
6;reboot;false;11389;2022-02-14T23:42:48;withdrawal primary
7;Assimilated;true;80873;2022-02-14T14:06:07;Computer
8;Division Wooden modular;true;97504;2022-02-14T06:41:15;override Florida leverage
9;Liaison;true;96482;2022-02-14T11:23:12;next withdrawal Brunei
10;Sheqel International;true;51283;2022-02-14T13:00:06;Fresh
