id;name;deleted;last_modified;last_modified_by
1;white;false;2022-02-14T13:38:59;object-oriented Isle
2;Algeria;false;2022-02-14T08:15:07;Associate mobile
3;quantify;true;2022-02-14T20:49:09;e-services SMTP
4;hack calculate Toys;false;2022-02-14T11:15:52;encoding
5;cultivate;true;2022-02-15T00:55:51;open-source Chair Auto
6;UIC-Franc cyan hack;false;2022-02-14T09:56:04;Soft Fresh
7;revolutionize online Music;true;2022-02-15T04:38:57;throughput
8;uniform;false;2022-02-14T18:27:51;Dakota parallelism
9;Lead Beauty;true;2022-02-14T18:39:32;Kids Buckinghamshire
10;transmitter;false;2022-02-14T10:38:31;deposit synthesize
