id;name;deleted;lgd_code;last_modified;last_modified_by
1;Executive Buckinghamshire plum;true;25550;2022-02-14T23:40:13;utilize Fresh cohesive
2;SCSI;true;70848;2022-02-14T06:36:27;copying Program
3;withdrawal cutting-edge;true;75096;2022-02-14T14:07:56;cyan Response
4;Expanded Computer Indiana;true;96025;2022-02-14T16:36:07;synthesize
5;Kwacha Frozen quantify;true;96016;2022-02-15T06:04:46;International
6;withdrawal Granite;false;5420;2022-02-14T19:09:10;Field Movies scale
7;Investment Steel Luxembourg;true;99911;2022-02-14T09:50:26;Total
8;mindshare Gorgeous;true;47979;2022-02-14T23:01:45;alarm Buckinghamshire
9;Analyst interactive Ridges;true;26685;2022-02-14T16:33:51;neural Implementation bandwidth
10;Kids;false;51770;2022-02-14T23:42:49;actuating
