id;name;deleted;lgd_code;last_modified;last_modified_by
1;Loaf;true;13858;2022-02-14T08:59:16;rich Legacy
2;Sausages;false;87875;2022-02-14T17:39:58;Berkshire productize Lempira
3;Savings;false;6509;2022-02-14T10:39:03;deposit Roads Groves
4;Refined;true;13765;2022-02-14T14:26:48;calculate Practical
5;Roads Omani Sausages;true;88728;2022-02-14T12:06:27;implement Grove
6;SMTP Quality;false;51274;2022-02-14T14:02:04;Corporate
7;TCP grey Concrete;false;7832;2022-02-14T21:48:19;Mongolia Account
8;cross-platform calculating;true;59518;2022-02-15T03:16:58;Avon
9;coherent utilize optical;true;2876;2022-02-14T17:00:50;Buckinghamshire architectures proactive
10;CSS Coordinator;true;81627;2022-02-14T12:17:51;Avon deliverables
