id;name;desciption;deleted;last_modified;last_modified_by
1;FTP bluetooth;Oregon Sleek;false;2022-02-14T18:02:08;Industrial port Connecticut
2;Loan;4th Divide Fresh;true;2022-02-14T17:39:07;supply-chains
3;evolve;Savings;true;2022-02-15T04:12:27;Officer networks
4;Direct Unit Home;facilitate Incredible Mongolia;true;2022-02-14T09:30:52;leverage quantify navigate
5;innovate;transition RSS;true;2022-02-15T01:39:15;Avon digital capacitor
6;Ridges quantify solutions;archive Product International;true;2022-02-14T17:49:41;Officer
7;Central Beauty;background Helena reinvent;true;2022-02-14T23:29:15;Kip
8;mobile Agent;visionary JBOD navigating;true;2022-02-14T17:55:29;quantify
9;asynchronous zero;portal Lake incremental;false;2022-02-14T07:43:14;Automotive array
10;application;Pants Checking Account;true;2022-02-14T09:54:47;leading turquoise
