id;total_samples_tested;total_negative;total_positive;current_previous_month_test;district_id;remarks;edited_on;updated_date;free_field_1;free_field_2
1;62718;97547;20134;70579;88963;Loan;2022-02-14T14:12:02;2022-02-15T00:49:32;Avon Omani Baby;Tennessee Street Islands
2;91627;96261;4267;3176;37713;District navigating Assistant;2022-02-15T01:55:36;2022-02-14T18:24:59;Cross-platform aggregate Lake;Jordanian deliver bypassing
3;45457;58530;96726;14846;91770;transitional;2022-02-14T16:16:20;2022-02-14T20:03:25;stable Producer dedicated;compressing
4;81000;12606;95351;64282;6868;quantifying Electronics;2022-02-14T06:34:13;2022-02-15T01:00:17;e-commerce Licensed;THX tan evolve
5;51720;53417;12851;76283;47061;Adaptive Rubber;2022-02-14T09:29:52;2022-02-15T04:35:05;JSON Islands asymmetric;Buckinghamshire
6;55860;27400;97250;55483;32686;invoice Granite;2022-02-14T08:31:36;2022-02-14T16:51:08;Kids Guam dot-com;Outdoors withdrawal Group
7;70241;96389;15037;37625;36721;Corporate;2022-02-14T17:20:18;2022-02-14T09:59:26;Chips Checking Music;Mariana Savings metrics
8;32304;18457;35700;69225;66198;architectures turn-key;2022-02-14T21:44:28;2022-02-14T20:10:18;Soft grey;Unbranded
9;72761;7334;47271;53325;26139;connecting USB;2022-02-14T12:13:22;2022-02-15T02:40:30;Peso;Granite gold global
10;80774;7515;20132;97714;37518;harness;2022-02-14T22:24:11;2022-02-14T16:48:27;Infrastructure functionalities well-modulated;Marketing auxiliary Cotton
