id;stock;capcity;installed_capcity;last_modified;last_modified_by
1;25090;85933;85231;2022-02-14T21:19:51;Coordinator
2;72478;3202;55680;2022-02-14T07:37:00;Account Ball Analyst
3;1691;74237;54941;2022-02-14T22:44:52;Kenya
4;87508;21019;20189;2022-02-14T22:59:41;Mountain Buckinghamshire
5;35825;66268;14677;2022-02-14T19:26:41;Hryvnia Home
6;67023;86224;90808;2022-02-14T09:47:14;Steel
7;45833;73773;27807;2022-02-14T22:25:17;Cambridgeshire Tuna Moldovan
8;46144;31017;42090;2022-02-14T10:59:52;Bedfordshire
9;77778;27897;69610;2022-02-15T04:38:23;e-services azure Berkshire
10;81950;38441;91172;2022-02-14T13:33:18;programming Inlet
