id;name;deleted;last_modified;last_modified_by
1;Loan;true;2022-02-14T14:14:06;Serbia tan
2;Books Granite;true;2022-02-14T11:14:49;Communications cross-media
3;Account;false;2022-02-15T05:02:32;synthesizing
4;Inverse;false;2022-02-15T04:04:38;Account
5;3rd Frozen Auto;false;2022-02-15T03:46:31;Glen SDR Colorado
6;Berkshire;false;2022-02-15T01:37:04;e-markets Keyboard
7;proactive;true;2022-02-14T06:43:06;transmit Up-sized
8;mobile;false;2022-02-15T04:35:53;Indian 24/365 Representative
9;Soft;false;2022-02-15T03:30:46;Brooks Plastic
10;Licensed neural parsing;false;2022-02-14T11:35:06;supply-chains Program SQL
