id;stock;capcity;comment;last_modified;last_modified_by
1;23742;30712;feed Ergonomic Generic;2022-02-14T08:37:49;B2B Operations
2;95679;32558;Plastic interface Buckinghamshire;2022-02-14T12:54:11;technologies Shoal
3;88872;20805;Gloves implementation;2022-02-14T08:40:00;Human
4;42395;9731;Chief;2022-02-14T19:45:31;Gloves HDD Gorgeous
5;10069;60994;Estate;2022-02-15T04:26:10;Metal parallelism
6;20812;87183;solid deposit input;2022-02-15T00:56:42;Branding
7;56125;43198;JSON;2022-02-15T05:19:29;Bike Granite
8;60168;5434;Cambridgeshire;2022-02-15T04:50:17;Sausages Plastic Enhanced
9;37156;92735;Fresh Locks secondary;2022-02-14T11:59:41;network
10;30515;68441;Games Saint Manager;2022-02-14T06:22:05;Licensed Georgia
