id;name;deleted;lgd_code;last_modified;last_modified_by
1;salmon;true;57211;2022-02-14T18:03:28;Avon
2;black Polarised;false;49800;2022-02-14T10:57:51;Fresh Chad
3;Borders transmitter;true;61905;2022-02-14T18:08:46;Auto conglomeration benchmark
4;Romania Mayen Streamlined;false;80355;2022-02-15T00:35:25;global Games
5;forecast;true;34875;2022-02-15T02:45:08;SAS Factors leading-edge
6;core Architect withdrawal;true;89219;2022-02-14T23:27:21;bluetooth
7;Jewelery process;true;6655;2022-02-14T19:35:40;Producer
8;Soft;false;85927;2022-02-15T06:01:38;transmitting Union Configuration
9;matrix;false;59886;2022-02-14T12:23:54;next-generation optical software
10;Liberia Soft Plastic;true;75824;2022-02-15T05:56:49;Forward mesh infrastructures
