id;name;deleted;lgd_code;last_modified;last_modified_by
1;lavender Metal interfaces;false;23796;2022-02-14T13:38:43;Kip Account
2;Fish Legacy;true;81173;2022-02-14T10:19:19;customized Account Integrated
3;aggregate Awesome Fish;false;90604;2022-02-14T12:36:41;bypass copy Profound
4;Cotton Avon;true;51306;2022-02-14T06:46:55;monitor navigating programming
5;Hat Coordinator Technician;true;44105;2022-02-14T21:14:59;Cambridgeshire extend
6;interface Personal Netherlands;true;47222;2022-02-14T16:29:27;Arizona matrix
7;mobile Officer Marino;true;48117;2022-02-14T12:46:04;Distributed Tasty deposit
8;SDD primary;true;81991;2022-02-14T21:10:44;Pre-emptive
9;Keyboard;false;89331;2022-02-14T18:52:02;invoice Seamless indigo
10;payment Health;false;90414;2022-02-14T11:51:49;internet Handcrafted Small
