id;stock_req;stock_provided;status;comment;last_modified;last_modified_by
1;85813;63568;CANCELLED;Fantastic yellow 24/365;2022-02-14T06:53:21;Krona purple Licensed
2;36011;97633;OPEN;1080p;2022-02-14T23:49:43;Rubber back-end Washington
3;31162;38192;OPEN;Central;2022-02-14T09:01:59;Rwanda
4;77819;89440;TRANSIT;content interface;2022-02-14T12:28:43;withdrawal
5;40948;76510;OPEN;B2B Mountains Islands;2022-02-14T09:24:50;Licensed leading-edge
6;61868;20588;TRANSIT;global;2022-02-15T06:15:27;magenta Bedfordshire
7;38234;41152;TRANSIT;JBOD killer;2022-02-14T17:14:37;capacity Beauty invoice
8;23662;65693;CANCELLED;Roads;2022-02-14T20:20:07;Electronics applications
9;80390;58761;RECEIVED;Incredible platforms;2022-02-14T09:25:34;Outdoors seize Rubber
10;36417;16909;OPEN;virtual seamless;2022-02-14T21:46:29;Tenge
