id;stock_sent;stock_rec;comment;receiver_comment;status;created_date;created_by;last_modified;last_modified_by
1;66315;93707;background Fantastic;Handmade;RECEIVED;2022-02-14T15:40:05;TCP turn-key Focused;2022-02-14T11:47:04;deposit
2;79338;93390;blockchains;visualize;OPEN;2022-02-14T08:33:04;Poland Buckinghamshire payment;2022-02-14T08:34:52;maroon Fresh Triple-buffered
3;4963;45584;transitional HDD infrastructures;fuchsia Horizontal optical;TRANSIT;2022-02-14T22:36:58;tan Baby;2022-02-14T06:59:02;administration solid
4;83883;36606;withdrawal Forward;Guinea-Bissau definition;TRANSIT;2022-02-14T14:45:52;maroon;2022-02-15T02:21:28;Directives transition
5;15777;89780;user-facing Internal Dinar;navigate;RECEIVED;2022-02-14T10:54:16;Director;2022-02-14T15:14:54;bus Cheese
6;15838;31479;PNG;platforms initiatives;OPEN;2022-02-14T11:02:46;encoding Barbados bandwidth;2022-02-15T04:54:59;Developer
7;40959;78002;architecture fuchsia;Direct;TRANSIT;2022-02-14T13:43:05;Borders 6th purple;2022-02-14T12:05:59;Arkansas efficient Gorgeous
8;26114;4714;24/365 Ball;Unbranded;RECEIVED;2022-02-15T05:09:03;ivory backing AGP;2022-02-14T14:33:08;Ergonomic Tuna
9;67008;48291;benchmark;application grey;RECEIVED;2022-02-14T14:29:26;Georgia salmon;2022-02-14T22:16:08;application
10;77320;75369;GB withdrawal;SCSI;RECEIVED;2022-02-14T09:00:10;withdrawal navigate withdrawal;2022-02-15T00:43:52;payment intermediate
